City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,kodiak,US,57.79,-152.4072,36.91,93,100,8.05,mist
1,kapaa,US,22.0752,-159.319,81.12,67,0,1.01,clear sky
2,butaritari,KI,3.0707,172.7902,81.79,78,100,16.22,light rain
3,nishihara,JP,26.1842,127.7558,69.08,88,75,21.85,broken clouds
4,buala,SB,-8.145,159.5921,80.04,84,100,10.2,light rain
5,hobart,AU,-42.8794,147.3294,60.66,75,40,17.27,light rain
6,sangar,RU,63.9242,127.4739,-33.93,99,24,2.24,few clouds
7,hurghada,EG,27.2574,33.8129,57.24,67,0,0.0,clear sky
8,ushuaia,AR,-54.8,-68.3,42.46,65,75,24.16,broken clouds
9,vuktyl,RU,63.8567,57.3094,14.88,97,99,5.26,overcast clouds
10,tasiilaq,GL,65.6145,-37.6368,14.16,80,95,5.39,overcast clouds
11,poum,NC,-20.2333,164.0167,80.15,73,0,0.45,clear sky
12,saint-philippe,RE,-21.3585,55.7679,80.19,95,100,34.02,heavy intensity rain
13,katsuura,JP,35.1333,140.3,47.19,47,100,5.73,overcast clouds
14,babu,CN,24.4167,111.5167,39.78,90,98,5.95,overcast clouds
15,santo antonio do ica,BR,-3.1022,-67.9397,73.81,97,100,2.64,overcast clouds
16,jamestown,US,42.097,-79.2353,40.32,65,100,5.01,overcast clouds
17,bredasdorp,ZA,-34.5322,20.0403,63.72,82,0,3.44,clear sky
18,hilo,US,19.7297,-155.09,80.33,71,75,10.36,broken clouds
19,great yarmouth,GB,52.6083,1.7305,48.31,94,100,10.07,overcast clouds
20,charagua,BO,-19.8,-63.2167,75.34,57,0,7.4,clear sky
21,mar del plata,AR,-38.0023,-57.5575,71.62,83,75,5.75,light rain
22,carutapera,BR,-1.195,-46.02,76.44,91,100,6.35,overcast clouds
23,bluff,NZ,-46.6,168.3333,58.8,65,100,17.09,overcast clouds
24,ponta do sol,PT,32.6667,-17.1,66.7,78,99,8.79,overcast clouds
25,bilma,NE,18.6853,12.9164,55.54,25,0,15.23,clear sky
26,atuona,PF,-9.8,-139.0333,78.24,77,100,14.65,light rain
27,esperance,AU,-33.8667,121.9,69.64,53,6,15.5,clear sky
28,anadyr,RU,64.75,177.4833,19.9,53,0,26.84,clear sky
29,provideniya,RU,64.3833,-173.3,10.51,72,75,31.32,broken clouds
30,norman wells,CA,65.282,-126.8329,-21.96,63,75,8.05,broken clouds
31,rikitea,PF,-23.1203,-134.9692,78.6,73,84,7.74,light rain
32,new norfolk,AU,-42.7826,147.0587,60.3,62,99,3.0,light rain
33,buenos aires,AR,-34.6132,-58.3772,82.96,61,0,6.91,clear sky
34,upington,ZA,-28.4478,21.2561,71.98,94,75,1.14,broken clouds
35,phalombe,MW,-15.8064,35.6507,66.02,88,96,0.85,overcast clouds
36,khandyga,RU,62.6667,135.6,-29.65,96,100,1.63,overcast clouds
37,havoysund,NO,70.9963,24.6622,20.28,86,94,9.6,overcast clouds
38,barrow,US,71.2906,-156.7887,-20.18,76,75,0.0,haze
39,cabo san lucas,MX,22.8909,-109.9124,72.7,67,75,13.8,broken clouds
40,grootfontein,NA,-19.5667,18.1167,66.99,39,3,11.18,clear sky
41,cotonou,BJ,6.3654,2.4183,80.58,83,70,9.22,dust
42,puerto ayora,EC,-0.7393,-90.3518,75.54,93,0,1.99,clear sky
43,faanui,PF,-16.4833,-151.75,81.21,75,14,20.09,few clouds
44,bardiyah,LY,31.7561,25.0865,52.36,70,83,16.33,broken clouds
45,mahon,ES,39.8885,4.2658,46.96,93,0,6.91,clear sky
46,dickinson,US,29.4608,-95.0513,70.2,94,100,1.01,mist
47,ankang,CN,32.68,109.0172,33.66,64,100,2.06,overcast clouds
48,san juan,AR,-31.5375,-68.5364,82.89,39,88,7.36,overcast clouds
49,san juan de uraba,CO,8.7592,-76.5297,77.65,86,5,7.05,clear sky
50,castro,BR,-24.7911,-50.0119,63.57,96,1,6.29,clear sky
51,punta arenas,CL,-53.15,-70.9167,48.31,71,75,3.44,broken clouds
52,tilichiki,RU,60.4667,166.1,4.32,81,72,10.2,broken clouds
53,torbay,CA,47.6666,-52.7314,22.57,89,20,16.11,few clouds
54,souillac,MU,-20.5167,57.5167,80.98,89,75,29.93,light intensity shower rain
55,sakakah,SA,29.9697,40.2064,49.57,44,100,7.92,overcast clouds
56,tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,75,12.66,light snow
57,cape town,ZA,-33.9258,18.4232,66.11,90,75,1.01,broken clouds
58,agadir,MA,30.4202,-9.5982,57.65,40,5,1.39,clear sky
59,severo-kurilsk,RU,50.6789,156.125,30.67,76,100,10.07,overcast clouds
60,mataura,NZ,-46.1927,168.8643,58.48,91,100,3.62,light rain
61,ilulissat,GL,69.2167,-51.1,-0.38,46,100,24.16,light shower snow
62,carnarvon,AU,-24.8667,113.6333,82.47,78,6,10.36,clear sky
63,lebu,CL,-37.6167,-73.65,60.15,88,81,10.4,broken clouds
64,rundu,NA,-17.9333,19.7667,66.45,66,72,1.23,broken clouds
65,nikolskoye,RU,59.7035,30.7861,19.29,99,95,1.63,overcast clouds
66,avarua,CK,-21.2078,-159.775,84.25,79,75,19.57,broken clouds
67,dikson,RU,73.5069,80.5464,-6.81,97,100,12.28,overcast clouds
68,busselton,AU,-33.65,115.3333,76.05,36,53,16.06,broken clouds
69,vaini,TO,-21.2,-175.2,87.96,70,20,6.91,few clouds
70,abonnema,NG,4.7084,6.7931,79.57,76,18,4.83,few clouds
71,mayo,US,38.8876,-76.5119,45.25,85,0,4.61,mist
72,nouadhibou,MR,20.931,-17.0347,71.58,56,0,14.97,sand
73,lima,PE,-12.0432,-77.0282,73.38,82,0,13.8,clear sky
74,pangai,TO,-19.8,-174.35,86.11,62,20,5.75,few clouds
75,upernavik,GL,72.7868,-56.1549,-8.97,67,100,8.77,overcast clouds
76,srednekolymsk,RU,67.45,153.6833,-23.44,98,100,2.1,overcast clouds
77,corrente,BR,-3.7367,-43.3394,74.19,88,86,1.9,overcast clouds
78,hobyo,SO,5.3505,48.5268,77.99,71,100,18.1,overcast clouds
79,hithadhoo,MV,-0.6,73.0833,81.37,70,6,2.71,clear sky
80,muros,ES,42.7762,-9.0603,54.23,88,100,6.42,overcast clouds
81,araouane,ML,18.9048,-3.5265,62.94,15,99,10.16,overcast clouds
82,east london,ZA,-33.0153,27.9116,73.87,94,100,8.77,light rain
83,guanica,PR,17.9716,-66.908,79.02,81,6,8.99,clear sky
84,la ronge,CA,55.1001,-105.2842,-16.38,69,0,4.61,clear sky
85,laguna,US,38.421,-121.4238,61.09,28,0,7.0,clear sky
86,luganville,VU,-15.5333,167.1667,85.6,72,100,5.23,overcast clouds
87,albany,US,42.6001,-73.9662,41.58,77,100,3.38,overcast clouds
88,port alfred,ZA,-33.5906,26.891,73.54,92,100,8.9,overcast clouds
89,fortuna,US,40.5982,-124.1573,55.47,80,0,1.99,clear sky
90,avera,US,33.194,-82.5271,63.91,81,100,6.46,overcast clouds
91,coihaique,CL,-45.5752,-72.0662,62.55,63,75,5.75,broken clouds
92,trige,DK,56.2529,10.1484,42.44,93,100,11.83,overcast clouds
93,thompson,CA,55.7435,-97.8558,-9.24,59,20,14.97,few clouds
94,mae ramat,TH,16.984,98.5166,61.12,56,12,1.07,few clouds
95,ylivieska,FI,64.0833,24.55,10.31,99,70,2.39,broken clouds
96,oranjestad,AW,12.524,-70.027,78.75,83,20,18.41,few clouds
97,karratha,AU,-20.7377,116.8463,86.38,61,14,8.19,few clouds
98,shimoda,JP,34.6667,138.95,50.36,52,79,23.49,broken clouds
99,aleksandrovsk-sakhalinskiy,RU,50.8975,142.1561,5.83,90,100,10.8,light snow
100,arlit,NE,18.7369,7.3853,60.37,16,0,12.33,clear sky
101,novyy urgal,RU,51.0736,132.5642,-16.58,97,99,0.81,overcast clouds
102,udachnyy,RU,66.4167,112.4,-33.65,100,50,2.39,scattered clouds
103,axim,GH,4.8699,-2.2405,78.3,85,97,5.73,light rain
104,koygorodok,RU,60.445,50.9968,20.52,93,100,7.58,overcast clouds
105,aswan,EG,24.0934,32.907,56.5,35,0,0.0,clear sky
106,seymchan,RU,62.8833,152.4333,-13.18,95,100,1.41,overcast clouds
107,kumo,NG,10.0447,11.2122,66.9,21,5,11.25,clear sky
108,palic,RS,46.1023,19.7635,38.89,73,6,21.88,clear sky
109,vilhena,BR,-12.7406,-60.1458,68.94,97,100,1.74,overcast clouds
110,hermanus,ZA,-34.4187,19.2345,65.89,86,0,10.85,clear sky
111,sisimiut,GL,66.9395,-53.6735,1.36,75,100,20.02,overcast clouds
112,cheremukhovo,RU,60.3484,59.9851,8.33,96,100,3.87,overcast clouds
113,wilmington,US,34.2257,-77.9447,52.95,80,100,8.05,overcast clouds
114,roma,US,43.2128,-75.4557,41.95,69,0,5.75,clear sky
115,yellowknife,CA,62.456,-114.3525,-24.45,76,20,4.61,few clouds
116,nuuk,GL,64.1835,-51.7216,11.01,61,75,10.36,broken clouds
117,someshwar,IN,13.5,75.0667,72.77,87,0,2.98,clear sky
118,mitu,CO,1.1983,-70.1733,75.85,74,38,2.3,scattered clouds
119,laramie,US,41.3114,-105.5911,2.03,71,40,6.91,scattered clouds
120,bonavista,CA,48.6499,-53.1147,23.11,75,22,20.15,few clouds
121,forestville,US,38.8451,-76.875,44.98,79,40,5.75,scattered clouds
122,kaseda,JP,31.4167,130.3167,40.23,73,100,12.84,overcast clouds
123,tiksi,RU,71.6872,128.8694,-3.91,94,100,9.55,overcast clouds
124,saskylakh,RU,71.9167,114.0833,-31.61,100,17,2.82,few clouds
125,veraval,IN,20.9,70.3667,71.4,82,78,13.47,broken clouds
126,wonthaggi,AU,-38.6044,145.5913,66.06,65,100,17.36,overcast clouds
127,ostrovnoy,RU,68.0531,39.5131,20.43,90,100,15.08,light snow
128,znamenskoye,RU,57.1281,73.8282,17.94,94,100,7.74,light snow
129,lasa,IT,46.6166,10.7002,40.08,94,47,8.05,scattered clouds
130,bambous virieux,MU,-20.3428,57.7575,80.85,89,75,29.93,light intensity shower rain
131,honningsvag,NO,70.9821,25.9704,26.62,76,100,9.64,overcast clouds
132,camacha,PT,33.0833,-16.3333,62.53,88,40,13.8,scattered clouds
133,pevek,RU,69.7008,170.3133,-6.63,74,0,4.12,clear sky
134,caohai,CN,26.8661,104.2841,25.75,90,100,0.38,overcast clouds
135,hofn,IS,64.2539,-15.2082,30.47,56,100,7.34,overcast clouds
136,sao felix do xingu,BR,-6.6447,-51.995,71.62,97,40,1.83,scattered clouds
137,nara,JP,34.6851,135.8049,43.88,62,100,8.57,overcast clouds
138,port elizabeth,ZA,-33.918,25.5701,71.1,94,75,11.5,broken clouds
139,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,28.99,69,75,4.47,broken clouds
140,kavieng,PG,-2.5744,150.7967,79.7,81,100,15.64,light rain
141,hambantota,LK,6.1241,81.1185,68.34,100,20,2.3,few clouds
142,ipixuna,BR,-1.7625,-48.8043,78.75,98,84,3.38,broken clouds
143,goderich,CA,43.7501,-81.7165,26.91,100,100,10.36,snow
144,linares,CL,-35.85,-71.6,62.55,57,0,2.26,clear sky
145,diapaga,BF,12.0708,1.7889,67.95,11,5,6.87,clear sky
146,lahij,YE,13.1667,44.5833,70.18,85,100,5.99,overcast clouds
147,bethel,US,41.3712,-73.414,40.41,84,100,0.0,overcast clouds
148,maralal,KE,1.0968,36.698,59.13,72,100,4.12,overcast clouds
149,yumen,CN,40.2833,97.2,19.08,46,49,8.14,scattered clouds
150,faya,SA,18.3851,42.4509,53.71,69,42,1.07,scattered clouds
151,aksarka,RU,66.5606,67.7975,3.24,98,100,3.24,overcast clouds
152,kabalo,CD,-6.05,26.9167,68.72,96,100,1.92,overcast clouds
153,bijie,CN,27.3125,105.2942,29.7,87,96,1.72,overcast clouds
154,kasempa,ZM,-13.4584,25.8338,64.31,92,100,3.47,overcast clouds
155,khatanga,RU,71.9667,102.5,-36.22,99,36,2.19,scattered clouds
156,bonthe,SL,7.5264,-12.505,76.59,91,15,4.16,few clouds
157,mugumu,TZ,-1.85,34.7,60.62,92,98,3.8,overcast clouds
158,mamlyutka,KZ,54.9375,68.5394,14.52,96,96,7.09,overcast clouds
159,airai,TL,-8.9266,125.4092,66.76,77,99,3.47,overcast clouds
160,saint anthony,US,45.0205,-93.218,3.92,59,0,5.99,clear sky
161,chokurdakh,RU,70.6333,147.9167,-20.83,98,100,6.96,overcast clouds
162,vale da amoreira,PT,39.0697,-7.6985,43.03,68,100,4.38,overcast clouds
163,opunake,NZ,-39.4556,173.8583,71.62,70,100,16.06,overcast clouds
164,kasongo-lunda,CD,-6.4667,16.8167,69.42,97,100,0.87,overcast clouds
165,marsh harbour,BS,26.5412,-77.0636,71.08,69,46,19.77,scattered clouds
166,matara,LK,5.9485,80.5353,71.22,88,12,6.26,few clouds
167,fairbanks,US,64.8378,-147.7164,-11.02,72,0,0.0,clear sky
168,grand-lahou,CI,5.1367,-5.0242,78.58,85,6,6.13,clear sky
169,sao joao dos patos,BR,-6.495,-43.7022,75.92,64,60,1.5,broken clouds
170,kloulklubed,PW,7.0419,134.2556,82.9,76,100,18.45,overcast clouds
171,vardo,NO,70.3705,31.1107,29.46,57,100,18.79,light snow
172,mahebourg,MU,-20.4081,57.7,80.89,89,75,29.93,light intensity shower rain
173,puerto madryn,AR,-42.7692,-65.0385,72.91,46,92,9.71,overcast clouds
174,pawai,IN,24.2667,80.1667,57.16,60,0,6.15,clear sky
175,chadan,RU,51.2833,91.5833,-22.58,96,82,1.32,broken clouds
176,hammerfest,NO,70.6634,23.6821,19.85,68,100,5.75,overcast clouds
177,ribeira grande,PT,38.5167,-28.7,59.43,71,16,7.23,few clouds
178,georgetown,MY,5.4112,100.3354,80.53,92,20,0.0,few clouds
179,emerald,AU,-23.5333,148.1667,83.34,78,75,8.05,broken clouds
180,smirnykh,RU,49.75,142.8333,8.64,72,100,8.16,overcast clouds
181,tuatapere,NZ,-46.1333,167.6833,58.82,71,100,9.22,overcast clouds
182,victoria,HK,22.2855,114.1577,56.25,89,100,8.99,overcast clouds
183,la peca,PE,-5.6111,-78.435,69.93,74,98,3.33,overcast clouds
184,sao marcos,BR,-28.9711,-51.0681,69.06,89,0,5.86,clear sky
185,kurchum,KZ,48.5722,83.6542,-14.75,94,11,1.01,few clouds
186,rocha,UY,-34.4833,-54.3333,68.29,89,0,9.55,clear sky
187,sao filipe,CV,14.8961,-24.4956,73.69,75,0,12.21,clear sky
188,pechora,RU,65.1472,57.2244,15.03,95,99,7.76,overcast clouds
189,kailua,US,21.4022,-157.7394,82.38,65,3,4.0,clear sky
190,pareora,NZ,-44.4871,171.2132,62.19,97,100,8.28,light rain
191,aripuana,BR,-9.1667,-60.6333,72.99,97,100,1.83,overcast clouds
192,archidona,ES,37.0965,-4.3887,52.36,41,100,3.71,overcast clouds
193,walvis bay,NA,-22.9575,14.5053,68.09,79,0,8.14,clear sky
194,tessalit,ML,20.1986,1.0114,59.86,15,7,11.05,clear sky
195,samarai,PG,-10.6167,150.6667,84.88,65,100,7.47,overcast clouds
196,chase,CA,50.8165,-119.6857,21.07,96,100,3.15,light snow
197,klaksvik,FO,62.2266,-6.589,38.32,76,100,10.94,overcast clouds
198,two hills,CA,53.7169,-111.7518,-8.52,84,100,14.97,overcast clouds
199,lorengau,PG,-2.0226,147.2712,77.83,87,100,9.64,overcast clouds
200,pasighat,IN,28.0667,95.3333,53.28,70,66,4.05,broken clouds
201,namibe,AO,-15.1961,12.1522,71.64,73,72,8.93,broken clouds
202,maumere,ID,-8.6199,122.2111,82.53,73,100,1.61,overcast clouds
203,dingle,PH,10.9995,122.6711,80.74,78,70,13.09,broken clouds
204,kaitangata,NZ,-46.2817,169.8464,54.25,95,100,3.04,overcast clouds
205,nanortalik,GL,60.1432,-45.2371,13.33,61,100,9.84,overcast clouds
206,bubaque,GW,11.2833,-15.8333,77.81,82,32,5.59,scattered clouds
207,shache,CN,38.4167,77.2406,34.72,42,100,1.23,overcast clouds
208,sale,MA,34.0389,-6.8166,48.22,100,100,3.44,overcast clouds
209,saint-joseph,RE,-21.3667,55.6167,79.18,93,100,32.26,heavy intensity rain
210,akyab,MM,20.15,92.9,61.93,70,4,6.67,clear sky
211,meulaboh,ID,4.1363,96.1285,77.05,83,61,2.95,broken clouds
212,mafinga,TZ,-7.25,35.0667,64.45,97,100,3.02,overcast clouds
213,lakatoro,VU,-16.0999,167.4164,85.39,71,67,6.42,broken clouds
214,suihua,CN,46.6406,126.9969,-7.08,96,66,3.76,broken clouds
215,lompoc,US,34.6391,-120.4579,64.71,35,0,14.97,clear sky
216,salalah,OM,17.0151,54.0924,77.09,20,0,9.22,clear sky
217,trinidad,BO,-14.8333,-64.9,74.08,96,20,4.14,few clouds
218,chuy,UY,-33.6971,-53.4616,71.13,86,0,11.63,clear sky
219,qaanaaq,GL,77.484,-69.3632,-10.7,83,100,6.93,overcast clouds
220,nouakchott,MR,18.0858,-15.9785,80.53,28,0,11.18,clear sky
221,kidal,ML,18.4411,1.4078,62.74,15,6,12.57,clear sky
222,ancud,CL,-41.8697,-73.8203,60.42,89,75,3.2,broken clouds
223,nizwa,OM,22.9333,57.5333,63.03,63,0,6.44,clear sky
224,constitucion,CL,-35.3333,-72.4167,58.12,87,69,5.48,broken clouds
225,sao jose da coroa grande,BR,-8.8978,-35.1478,79.59,75,53,8.86,broken clouds
226,alofi,NU,-19.0595,-169.9187,78.69,89,75,6.91,light intensity shower rain
227,jibuti,DJ,11.5,42.5,72.82,81,99,9.82,overcast clouds
228,monte alegre de minas,BR,-18.8706,-48.8808,70.45,89,100,5.19,overcast clouds
229,bengkulu,ID,-3.8004,102.2655,78.35,80,75,3.91,broken clouds
230,batsfjord,NO,70.6345,29.7185,22.91,73,100,7.94,overcast clouds
231,kotido,UG,2.9806,34.1331,73.22,49,98,5.55,overcast clouds
232,port macquarie,AU,-31.4333,152.9167,68.9,95,100,13.13,light rain
233,iqaluit,CA,63.7506,-68.5145,6.53,84,75,10.0,light snow
234,payson,US,40.0444,-111.7321,26.35,61,40,17.27,scattered clouds
235,aykhal,RU,66.0,111.5,-21.35,100,6,2.89,clear sky
236,sinnamary,GF,5.3833,-52.95,78.13,82,100,11.12,overcast clouds
237,tynda,RU,55.1667,124.7167,-15.54,84,59,4.92,broken clouds
238,ust-barguzin,RU,53.45,108.9833,-11.02,97,98,4.76,overcast clouds
239,ciudad bolivar,VE,8.1222,-63.5497,85.53,48,100,14.97,overcast clouds
240,pangnirtung,CA,66.1451,-65.7125,4.78,86,100,7.23,overcast clouds
241,mudgee,AU,-32.5943,149.5871,69.85,68,100,4.61,overcast clouds
242,ketchikan,US,55.3422,-131.6461,39.18,93,100,5.75,mist
243,port hueneme,US,34.1478,-119.1951,65.32,20,0,17.27,clear sky
244,pontianak,ID,-0.0333,109.3333,75.18,100,40,0.0,scattered clouds
245,nome,US,64.5011,-165.4064,10.47,53,0,31.07,clear sky
246,sri aman,MY,1.2376,111.4621,77.09,94,20,0.0,few clouds
247,hervey bay,AU,-25.2986,152.8535,85.03,81,100,5.01,overcast clouds
248,saint-pierre,RE,-21.3393,55.4781,80.28,83,75,34.52,light rain
249,tucuma,BR,-0.1833,-50.05,75.15,95,100,5.26,overcast clouds
250,uyuni,BO,-20.4597,-66.825,55.56,54,3,3.85,clear sky
251,abu samrah,SY,35.3029,37.1841,47.57,54,100,11.41,overcast clouds
252,longyearbyen,SJ,78.2186,15.6401,13.84,73,0,20.71,clear sky
253,sitka,US,57.0531,-135.33,39.09,93,100,5.75,mist
254,almonte,ES,37.2647,-6.5167,52.45,58,36,4.63,scattered clouds
255,port lincoln,AU,-34.7333,135.8667,65.19,58,75,15.64,broken clouds
256,colares,PT,38.7992,-9.4469,56.34,72,100,1.01,overcast clouds
257,karpogory,RU,64.0019,44.4451,12.92,98,100,1.81,overcast clouds
258,shambu,ET,9.5667,37.1,57.38,58,100,1.41,overcast clouds
259,santa cruz de la palma,ES,28.6835,-17.7642,68.14,88,75,9.22,broken clouds
260,kosh-agach,RU,50.0,88.6667,-20.76,99,92,2.86,overcast clouds
261,finschhafen,PG,-6.6024,147.8681,82.02,79,100,13.06,overcast clouds
262,cidreira,BR,-30.1811,-50.2056,75.49,86,5,18.97,clear sky
263,honiara,SB,-9.4333,159.95,82.02,84,100,6.42,overcast clouds
264,roebourne,AU,-20.7833,117.1333,86.52,59,55,12.84,broken clouds
265,tromso,NO,69.6496,18.957,15.82,79,0,5.75,clear sky
266,polyarnyy,RU,69.1989,33.4478,3.67,96,100,4.47,light snow
