City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,nishihara,JP,69.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
15,santo antonio do ica,BR,73.81,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
21,mar del plata,AR,71.62,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
24,ponta do sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
27,esperance,AU,69.64,clear sky,-33.8667,121.9,Hospitality Esperance
34,upington,ZA,71.98,broken clouds,-28.4478,21.2561,River Place Manor
35,phalombe,MW,66.02,overcast clouds,-15.8064,35.6507,RIVONIA
39,cabo san lucas,MX,72.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,dickinson,US,70.2,mist,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
57,cape town,ZA,66.11,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
72,nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
73,lima,PE,73.38,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
77,corrente,BR,74.19,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
82,east london,ZA,73.87,light rain,-33.0153,27.9116,Tu Casa
88,port alfred,ZA,73.54,overcast clouds,-33.5906,26.891,The Halyards Hotel
107,kumo,NG,66.9,clear sky,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
109,vilhena,BR,68.94,overcast clouds,-12.7406,-60.1458,Hotel Mirage
110,hermanus,ZA,65.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
117,someshwar,IN,72.77,clear sky,13.5,75.0667,Kadinamane Homestay
125,veraval,IN,71.4,broken clouds,20.9,70.3667,Lords Inn Somnath
126,wonthaggi,AU,66.06,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
136,sao felix do xingu,BR,71.62,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
138,port elizabeth,ZA,71.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
141,hambantota,LK,68.34,few clouds,6.1241,81.1185,Bungalow 63
145,diapaga,BF,67.95,clear sky,12.0708,1.7889,
146,lahij,YE,70.18,overcast clouds,13.1667,44.5833,
152,kabalo,CD,68.72,overcast clouds,-6.05,26.9167,
159,airai,TL,66.76,overcast clouds,-8.9266,125.4092,
163,opunake,NZ,71.62,overcast clouds,-39.4556,173.8583,Walton Cottage
164,kasongo-lunda,CD,69.42,overcast clouds,-6.4667,16.8167,
165,marsh harbour,BS,71.08,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
166,matara,LK,71.22,few clouds,5.9485,80.5353,Amaloh Boutique Resort
173,puerto madryn,AR,72.91,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
183,la peca,PE,69.93,overcast clouds,-5.6111,-78.435,Hospedaje San Miguelito
184,sao marcos,BR,69.06,clear sky,-28.9711,-51.0681,Hotel São Marcos
186,rocha,UY,68.29,clear sky,-34.4833,-54.3333,Hotel Arrarte
187,sao filipe,CV,73.69,clear sky,14.8961,-24.4956,Hotel Xaguate
191,aripuana,BR,72.99,overcast clouds,-9.1667,-60.6333,
201,namibe,AO,71.64,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
217,trinidad,BO,74.08,few clouds,-14.8333,-64.9,Hotel Piesta
218,chuy,UY,71.13,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
227,jibuti,DJ,72.82,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
228,monte alegre de minas,BR,70.45,overcast clouds,-18.8706,-48.8808,Hotel Via Hotel
231,kotido,UG,73.22,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
232,port macquarie,AU,68.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
241,mudgee,AU,69.85,overcast clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
243,port hueneme,US,65.32,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
255,port lincoln,AU,65.19,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
259,santa cruz de la palma,ES,68.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
270,san patricio,US,73.81,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
282,hirara,JP,68.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
286,aguimes,ES,68.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
287,cianorte,BR,71.74,scattered clouds,-23.6633,-52.605,Hotel Cianorte Diamond
294,quevedo,EC,74.86,moderate rain,-1.0333,-79.45,Hotel Tuistico Ejecutivo
298,zastron,ZA,66.15,light rain,-30.3023,27.084,Highlands Guest House
302,cockburn town,TC,73.15,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
311,naliya,IN,65.95,clear sky,23.2667,68.8333,jadeja jayendrasinh
314,alice springs,AU,67.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
315,mangrol,IN,71.28,broken clouds,21.1167,70.1167,Hotel The Royal Honours
318,adrar,MR,66.22,clear sky,20.5022,-10.0711,
320,port blair,IN,73.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
322,guayaramerin,BO,73.26,scattered clouds,-10.8368,-65.3614,Hostal Funf
323,vera cruz,BR,70.27,clear sky,-12.6333,-41.0333,
325,waipawa,NZ,72.23,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
338,kalemie,CD,68.95,overcast clouds,-5.9475,29.1947,Mahobilali
340,carlsbad,US,67.37,clear sky,33.1581,-117.3506,Carlsbad Inn Beach Resort
342,ratnagiri,IN,67.46,clear sky,16.9833,73.3,Hotel Landmark
349,azul,AR,68.25,overcast clouds,-36.777,-59.8585,Cabañas Dulcinea
352,tampakan,PH,74.91,overcast clouds,6.4442,124.9264,AJ Hotel
354,alta floresta,BR,72.12,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
358,wattegama,LK,67.12,broken clouds,6.7989,81.4808,
359,taltal,CL,68.47,clear sky,-25.4,-70.4833,Residencial Karime
362,batemans bay,AU,73.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
371,espirito santo do pinhal,BR,68.72,overcast clouds,-22.1158,-46.6828,MEGA Aluguel Apartamentos
375,hualmay,PE,70.79,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
377,necochea,AR,73.04,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
383,long,TH,70.39,clear sky,18.0761,99.8326,Nopphakoe Homestay
410,sao miguel do araguaia,BR,73.83,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
413,flinders,AU,73.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
429,maturin,VE,74.28,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
432,campos,BR,73.09,overcast clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
435,beloha,MG,70.05,clear sky,-25.1667,45.05,
444,mongo,TD,65.3,clear sky,12.1844,18.693,Résidences du Programme FIDA
449,koumra,TD,72.9,broken clouds,8.9126,17.5539,Yamtoide house koumra
450,valera,VE,72.05,clear sky,9.3178,-70.6036,Hotel Camino Real
455,galdar,ES,70.36,overcast clouds,28.147,-15.6502,Hostel Guide
456,khakhea,BW,71.71,light rain,-24.6895,23.494,
459,tuy hoa,VN,74.07,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
460,nioro,GM,74.97,scattered clouds,13.35,-15.75,
473,teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
474,lakota,CI,70.54,broken clouds,5.8528,-5.6883,Aziz bah divers
478,rawson,AR,68.34,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
481,uvira,CD,71.87,light rain,-3.4067,29.1458,Hotel Suzana
489,gwadar,PK,66.06,clear sky,25.1216,62.3254,Sadaf Resort
490,nelson bay,AU,71.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
495,pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
496,praya,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
506,rajula,IN,65.93,clear sky,21.05,71.4333,Lion Lords Inn Rajula
514,maun,BW,70.07,clear sky,-19.9833,23.4167,Enviro Villa
516,kaili,ID,72.43,overcast clouds,-3.4626,120.2147,
517,santa cruz de tenerife,ES,73.6,light rain,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
518,san carlos de bariloche,AR,69.55,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
522,jojoima,SL,66.38,clear sky,7.8792,-10.7878,
